,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
360,SGH,"SMART Global Holdings, Inc.",1.15B,2.80%,337629,1.25B
361,PUBM,"PubMatic, Inc.",1.15B,0.94%,62791,267.01M
362,CRCT,"Cricut, Inc.",1.14B,2.18%,381338,765.15M
363,TUYA,Tuya Inc.,1.11B,-1.29%,69929,229.99M
364,IE,Ivanhoe Electric Inc.,1.11B,-2.86%,45643,3.90M
365,IMOS,ChipMOS TECHNOLOGIES INC.,1.10B,1.13%,5924,766.03M
366,TASK,"TaskUs, Inc.",1.09B,-2.76%,30003,924.37M
367,ICHR,"Ichor Holdings, Ltd.",1.09B,0.87%,41011,811.12M
368,BHE,"Benchmark Electronics, Inc.",1.06B,0.03%,14416,2.84B
369,DGII,Digi International Inc.,1.06B,0.24%,17841,441.63M
